,Image,Labels
512,train\Moderate\224bb938e2dd.png,Moderate
2409,train\No_DR\9870ce41cac4.png,No_DR
636,train\Moderate\419406328dcd.png,Moderate
2652,train\No_DR\b73d0bcd3d33.png,No_DR
1726,train\No_DR\370f575adb23.png,No_DR
2187,train\No_DR\7a77c3eb468c.png,No_DR
130,train\Mild\545df1bbcd61.png,Mild
772,train\Moderate\5ed6dc419e4d.png,Moderate
2826,train\No_DR\d1b279cc02ae.png,No_DR
1572,train\No_DR\1e8c31e29dd3.png,No_DR
3392,train\Proliferate_DR\bdff5d8bddf8.png,Proliferate_DR
2192,train\No_DR\7af4d8704032.png,No_DR
1723,train\No_DR\369229040a34.png,No_DR
1676,train\No_DR\2f8d14a7d390.png,No_DR
1975,train\No_DR\5ad3dabeb2cd.png,No_DR
98,train\Mild\4661006f3ba6.png,Mild
3475,train\Severe\07a0e34c8d20.png,Severe
1959,train\No_DR\58af2c054ced.png,No_DR
1821,train\No_DR\454a944eb557.png,No_DR
2982,train\No_DR\e5de79795c1d.png,No_DR
2083,train\No_DR\6c00dd8bf708.png,No_DR
1151,train\Moderate\c406325360b1.png,Moderate
3414,train\Proliferate_DR\d271d3a2b552.png,Proliferate_DR
487,train\Moderate\1da25637859b.png,Moderate
926,train\Moderate\8c87bd748996.png,Moderate
962,train\Moderate\96d48b073f18.png,Moderate
265,train\Mild\b22354b5f94b.png,Mild
111,train\Mild\4dd5d5ccddcf.png,Mild
3005,train\No_DR\e933923aab15.png,No_DR
1176,train\Moderate\ca360bec5851.png,Moderate
3006,train\No_DR\e966850247f4.png,No_DR
1520,train\No_DR\184a185e7447.png,No_DR
410,train\Moderate\0af296d2f04a.png,Moderate
1266,train\Moderate\e150935f66a6.png,Moderate
2752,train\No_DR\c597ef460944.png,No_DR
2007,train\No_DR\5f4a8c074bd5.png,No_DR
2783,train\No_DR\cae33655ca00.png,No_DR
1425,train\No_DR\096436d68d06.png,No_DR
406,train\Moderate\0a09aa7356c0.png,Moderate
3437,train\Proliferate_DR\e62490b7d0e9.png,Proliferate_DR
2084,train\No_DR\6c30dd481717.png,No_DR
1044,train\Moderate\a7b7dc8788b9.png,Moderate
3147,train\No_DR\fc898dfeb24f.png,No_DR
2301,train\No_DR\8a3eb86ae4bd.png,No_DR
2921,train\No_DR\de2eb5c8aa83.png,No_DR
1719,train\No_DR\35cd9832fc0a.png,No_DR
2926,train\No_DR\de6210f88536.png,No_DR
230,train\Mild\977e1ca77653.png,Mild
1440,train\No_DR\0b2ea8f268cf.png,No_DR
